Date,RedBull,Formula1,MonsterEnergy,RedBullRacing,Esports
01-07-2021,47,61,54,44,57
01-08-2021,44,49,55,31,55
01-09-2021,44,62,46,34,51
01-10-2021,42,52,43,45,78
01-11-2021,41,74,38,43,56
01-12-2021,47,93,40,84,49
01-01-2022,39,24,48,31,58
01-02-2022,43,31,51,59,67
01-03-2022,46,91,53,71,62
01-04-2022,48,75,54,51,65
01-05-2022,50,84,51,54,75
01-06-2022,50,65,55,50,56
01-07-2022,55,100,57,58,59
01-08-2022,51,47,54,45,64
01-09-2022,53,59,53,49,67
01-10-2022,60,79,53,97,96
01-11-2022,45,53,45,49,58
01-12-2022,47,16,45,25,44
01-01-2023,44,18,55,25,56
01-02-2023,46,32,57,63,62
01-03-2023,54,76,54,68,60
01-04-2023,50,56,55,37,57
01-05-2023,51,66,52,42,64
01-06-2023,57,59,55,43,55
01-07-2023,56,80,53,61,63
01-08-2023,52,38,53,32,64
01-09-2023,52,65,50,51,59
01-10-2023,57,65,52,46,93
01-11-2023,58,66,56,51,74
01-12-2023,53,19,52,33,52
01-01-2024,50,17,50,27,54
01-02-2024,67,40,63,91,61
01-03-2024,69,80,59,93,61
01-04-2024,62,52,62,57,61
01-05-2024,64,70,53,50,70
01-06-2024,59,61,54,40,56
01-07-2024,60,66,53,48,78
01-08-2024,59,39,52,33,70
01-09-2024,67,59,51,46,68
01-10-2024,74,53,65,44,85
01-11-2024,73,66,82,51,63
01-12-2024,70,47,63,81,49
01-01-2025,68,20,59,32,56
01-02-2025,73,29,68,38,60
01-03-2025,81,74,70,100,56
01-04-2025,84,71,74,67,56
01-05-2025,75,82,75,51,56
01-06-2025,71,71,71,51,64
01-07-2025,74,76,74,93,86
01-08-2025,76,61,80,57,91
01-09-2025,78,62,78,59,85
01-10-2025,82,77,88,60,100
01-11-2025,100,84,91,65,94
01-12-2025,85,65,84,95,85
01-01-2026,85,31,85,78,82
01-02-2026,87,37,91,55,90
01-03-2026,89,85,99,79,93
01-04-2026,87,32,100,49,88
01-05-2026,93,68,99,47,69
