"Time","Esports"
"2021-05-01",62
"2021-06-01",58
"2021-07-01",57
"2021-08-01",55
"2021-09-01",51
"2021-10-01",78
"2021-11-01",56
"2021-12-01",49
"2022-01-01",58
"2022-02-01",67
"2022-03-01",62
"2022-04-01",65
"2022-05-01",75
"2022-06-01",56
"2022-07-01",59
"2022-08-01",64
"2022-09-01",67
"2022-10-01",96
"2022-11-01",58
"2022-12-01",44
"2023-01-01",56
"2023-02-01",62
"2023-03-01",60
"2023-04-01",57
"2023-05-01",64
"2023-06-01",55
"2023-07-01",63
"2023-08-01",64
"2023-09-01",59
"2023-10-01",93
"2023-11-01",74
"2023-12-01",52
"2024-01-01",54
"2024-02-01",61
"2024-03-01",61
"2024-04-01",61
"2024-05-01",70
"2024-06-01",56
"2024-07-01",78
"2024-08-01",70
"2024-09-01",68
"2024-10-01",85
"2024-11-01",63
"2024-12-01",49
"2025-01-01",56
"2025-02-01",60
"2025-03-01",56
"2025-04-01",56
"2025-05-01",56
"2025-06-01",64
"2025-07-01",86
"2025-08-01",91
"2025-09-01",85
"2025-10-01",100
"2025-11-01",94
"2025-12-01",85
"2026-01-01",82
"2026-02-01",90
"2026-03-01",93
"2026-04-01",88
"2026-05-01",69
