"query","search interest","increase percent"
"bgmi esports",1,"Breakout"
"esports world cup 2025",1,"Breakout"
"esports world cup 2024",1,"Breakout"
"krafton india esports",0,"Breakout"
"ewc",0,"Breakout"
"moist esports",0,"Breakout"
"emberslasvegas esports",0,"Breakout"
"bleed esports",0,"Breakout"
"sheep esports",0,"4,250%"
"sheep esport",0,"3,800%"
"ставки на кіберспорт cs2",0,"3,650%"
"e スポーツ と 普通 の ゲーム っ て 何 が どう 違う の",0,"3,300%"
"rrr esports",0,"3,250%"
"koi esports",0,"3,200%"
"godlike esports",0,"2,950%"
"falcons esports",0,"2,650%"
"バーチャ ファイター e スポーツ",0,"2,500%"
"valorant esports schedule",0,"2,350%"
"ggbet esports",0,"1,950%"
"kru esports",0,"1,800%"
"hanwha life esports",1,"1,600%"
"ecole esport egs",0,"1,600%"
"esports world cup",3,"1,600%"
"lolesports",3,"1,350%"
"esporin",0,"1,150%"
"valorant esports",3,"1,000%"
"valorant esport",1,"1,000%"
"valorant",5,"950%"
"brawl stars esports",1,"950%"
"fut esports",0,"900%"
"tundra esports",0,"850%"
"esport.sk",0,"800%"
"esport world cup",0,"700%"
"lng esports",0,"700%"
"brawl stars esport",0,"650%"
"ggbet",0,"600%"
"onic esports",0,"550%"
"t1 esports",1,"500%"
"esports charts",0,"450%"
"generation esports",0,"450%"
"esports betting sites",0,"400%"
"t1",1,"400%"
"esports news",3,"400%"
"sentinels",0,"350%"
"olympic esports",0,"350%"
"boom esports",0,"350%"
"네이버 이 스포츠",0,"350%"
"global esports",1,"300%"
"롤 이 스포츠",0,"300%"
"talon esports",0,"300%"
