"query","search interest","increase percent"
"esports",100,"20%"
"esport",34,"-10%"
"lol",18,"-10%"
"lol esports",13,"-10%"
"esports lol",12,"-20%"
"電 競",7,"-9%"
"sports",6,"1%"
"e スポーツ",6,"30%"
"gaming",6,"-9%"
"sport",5,"-30%"
"valorant",5,"950%"
"league esports",4,"10%"
"киберспорт",4,"8%"
"e sports",4,"-10%"
"e sport",4,"-30%"
"valorant esports",3,"1,000%"
"esport lol",3,"-20%"
"lol esport",3,"-20%"
"esports news",3,"400%"
"esports games",3,"30%"
"lolesports",3,"1,350%"
"what is esports",3,"170%"
"esports world cup",3,"1,600%"
"e-sports",2,"-20%"
"g2",2,"4%"
"g2 esports",2,"20%"
"top esports",2,"90%"
"e-sport",2,"-30%"
"league of legends",2,"-10%"
"esports betting",2,"110%"
"cybersport",2,"-20%"
"espor",2,"-30%"
"esports teams",2,"30%"
"twitch",1,"-20%"
"esports logo",1,"-10%"
"dota 2",1,"2%"
"league of legends esports",1,"-8%"
"pubg esports",1,"50%"
"e spor",1,"-5%"
"esport logo",1,"-60%"
"logo esport",1,"-60%"
"e 스포츠",1,"130%"
"電 競 椅",1,"50%"
"global esports",1,"300%"
"esports meaning",1,"160%"
"t1",1,"400%"
"rocket league",1,"5%"
"one esports",1,"20%"
"free fire esports",1,"300%"
"ant esports",1,"180%"
