"query","search interest","increase percent"
"f1",100,"10%"
"formula",24,"-20%"
"formula 1",22,"-10%"
"formel 1",6,"-40%"
"formule 1",5,"-30%"
"gp",4,"6%"
"grand prix",4,"-20%"
"f1 2022",4,"Breakout"
"f1 2025",3,"Breakout"
"f1 2023",3,"Breakout"
"f1 race",3,"120%"
"f1 news",3,"-40%"
"f1 schedule",3,"170%"
"f1 2024",3,"Breakout"
"f1 2021",3,"30%"
"f1 gp",3,"20%"
"gp f1",3,"10%"
"f1 standings",2,"170%"
"fórmula 1",2,"90%"
"f1 car",2,"30%"
"ferrari",2,"-10%"
"f1 tv",2,"3%"
"grand prix f1",2,"30%"
"qualifying f1",2,"60%"
"ferrari f1",2,"-10%"
"f1 qualifying",2,"50%"
"f1 live",2,"-30%"
"f1 grand prix",1,"20%"
"f1 2026",1,"Breakout"
"f1 results",1,"50%"
"f1 hoy",1,"300%"
"f1 drivers",1,"50%"
"f1 today",1,"110%"
"verstappen",1,"60%"
"hamilton",1,"6%"
"formula one",1,"-30%"
"f1 mercedes",1,"30%"
"f1 horario",1,"140%"
"motogp",1,"-40%"
"mercedes f1",1,"30%"
"f1 calendar",1,"10%"
"horario f1",1,"120%"
"mclaren",1,"-10%"
"red bull f1",1,"30%"
"f1 miami",1,"1,550%"
"f2",1,"4%"
"f1 oggi",1,"80%"
"formel 1 heute",1,"-9%"
"calendario f1",1,"20%"
"f1 calendario",1,"20%"
