"query","search interest","increase percent"
"monster energy black ops 6",0,"Breakout"
"lando norris monster",0,"Breakout"
"monster energy apex",0,"2,200%"
"مانستر",1,"1,600%"
"strawberry monster",1,"750%"
"مونستر",0,"750%"
"monster strawberry",1,"700%"
"monster nitro",0,"550%"
"monster khaotic",0,"400%"
"new monster flavor",0,"350%"
"hard monster",0,"300%"
"white monster caffeine",0,"300%"
"monster blanco",0,"300%"
"monster monarch",0,"250%"
"monster energy zero sugar",0,"250%"
"몬스터",1,"250%"
"monster blanca",0,"250%"
"cuanta cafeina tiene un monster",0,"250%"
"call of duty monster energy",1,"200%"
"monster energy call of duty",0,"200%"
"monster netflix",0,"200%"
"monster call of duty",1,"200%"
"monster anime",1,"200%"
"monster manga",0,"190%"
"what flavor is white monster",0,"190%"
"call of duty",1,"180%"
"monster zero sugar",1,"180%"
"monster peach",0,"170%"
"zero sugar monster",1,"170%"
"peach monster",0,"160%"
"monster watermelon",0,"160%"
"watermelon monster",0,"160%"
"monster film",0,"140%"
"monstrr",0,"140%"
"white monster energy drink",0,"140%"
"white monster flavor",0,"130%"
"mosnter",0,"130%"
"モンスター カフェ イン 量",0,"130%"
"monster branco",0,"120%"
"モンスター 新作",0,"110%"
"monster white",4,"100%"
"monster sin azucar",0,"100%"
"monster alcohol",1,"100%"
"monster original",1,"100%"
"white monster",4,"90%"
"monste",0,"90%"
"monster alcohol drink",0,"90%"
"monster truck",1,"80%"
"monster lewis hamilton",1,"80%"
"lewis hamilton monster",1,"80%"
