"query","search interest","increase percent"
"monster",100,"-3%"
"monster energy",28,"-40%"
"monster drink",10,"-30%"
"monster energy drink",6,"-20%"
"energy drink",6,"-30%"
"monster caffeine",6,"30%"
"monster can",5,"10%"
"monster ultra",4,"-9%"
"モンスター",4,"-30%"
"monster white",4,"100%"
"white monster",4,"90%"
"caffeine in monster",4,"30%"
"red monster",3,"-10%"
"monster zero",3,"10%"
"red bull",3,"-10%"
"monster drinks",3,"-30%"
"how much caffeine in monster",2,"50%"
"energy drinks",2,"-30%"
"モンスター エナジー",2,"-70%"
"caffeine in a monster",2,"60%"
"monster energy drinks",2,"-30%"
"moster",2,"40%"
"monster price",2,"50%"
"monster energy caffeine",2,"40%"
"monster mango",1,"3%"
"monster logo",1,"-50%"
"black monster",1,"3%"
"mango monster",1,"-1%"
"monster flavors",1,"5%"
"monster coffee",1,"-20%"
"logo monster",1,"-50%"
"blue monster",1,"10%"
"how much caffeine in a monster",1,"50%"
"monster punch",1,"-30%"
"monster energy ultra",1,"-2%"
"redbull",1,"30%"
"how much caffeine is in monster",1,"40%"
"monster zero sugar",1,"180%"
"monster alcohol",1,"100%"
"monsters",1,"20%"
"monster green",1,"-5%"
"zero sugar monster",1,"170%"
"green monster",1,"-20%"
"call of duty",1,"180%"
"how much caffeine is in a monster",1,"60%"
"pink monster",1,"1%"
"monster call of duty",1,"200%"
"monster pink",1,"2%"
"monster truck",1,"80%"
"monster caffeine content",1,"70%"
