"query","search interest","increase percent"
"juneberry",1,"Breakout"
"juneberry red bull",1,"Breakout"
"red bull vanilla berry",1,"Breakout"
"red bull juneberry",1,"Breakout"
"vanilla berry red bull",1,"Breakout"
"red bull iced vanilla berry",0,"Breakout"
"iced vanilla berry red bull",0,"Breakout"
"white peach red bull",0,"Breakout"
"redbull advent calendar",0,"Breakout"
"red bull white peach",0,"Breakout"
"redbull juneberry",0,"Breakout"
"juneberry redbull",0,"Breakout"
"white peach redbull",0,"Breakout"
"cherry sakura red bull",0,"Breakout"
"red bull waldbeere",0,"Breakout"
"red bull advent calendar",0,"Breakout"
"red bull league of its own",0,"4,900%"
"redbull advent calendar 2025",0,"4,250%"
"kalendarz adwentowy red bull",0,"4,000%"
"new redbull flavor",0,"3,450%"
"vanilla red bull",1,"2,950%"
"red bull padel",0,"2,750%"
"calendrier de l'avent red bull",0,"2,450%"
"red bull showrun",0,"2,200%"
"new red bull flavor",0,"950%"
"pink redbull",0,"900%"
"red bull adventskalender",0,"600%"
"ريدبول",1,"500%"
"redbull flavors",0,"500%"
"peach red bull",1,"500%"
"red bull peach",1,"450%"
"pink red bull",1,"450%"
"red bull pink",1,"450%"
"wie viel koffein hat red bull",0,"400%"
"redbull sorten",0,"350%"
"redbull merch",0,"350%"
"ab wie viel jahren ist red bull",0,"300%"
"red bull merch",0,"300%"
"redbull zero",0,"250%"
"ريد بول",1,"250%"
"neues red bull",0,"250%"
"redbull jacket",0,"250%"
"green redbull",0,"250%"
"how much caffeine does red bull have",0,"250%"
"red bull price in pakistan",0,"250%"
"winter red bull",1,"250%"
"red bull im angebot",0,"200%"
"رد بول",0,"200%"
"winter edition red bull",1,"180%"
"new redbull",1,"170%"
