"query","search interest","increase percent"
"red",100,"1%"
"red bull",93,"-9%"
"redbull",41,"30%"
"レッドブル",4,"-30%"
"red bull drink",4,"10%"
"red bull caffeine",3,"70%"
"f1",3,"30%"
"monster",3,"40%"
"red bull can",2,"30%"
"red bull price",2,"70%"
"energy drink",2,"20%"
"caffeine in red bull",2,"80%"
"red bull f1",2,"6%"
"redbul",2,"50%"
"red bull energy drink",2,"20%"
"new red bull",1,"70%"
"redbull drink",1,"80%"
"ريد بول",1,"250%"
"redbull can",1,"80%"
"how much caffeine in red bull",1,"80%"
"redbull f1",1,"100%"
"sugar free red bull",1,"50%"
"red bull sugar free",1,"40%"
"monster energy",1,"20%"
"red bull angebot",1,"170%"
"winter red bull",1,"250%"
"red bull logo",1,"2%"
"redbull caffeine",1,"160%"
"logo red bull",1,"-3%"
"red bul",1,"2%"
"red bull racing",1,"-50%"
"red bull zero",1,"130%"
"vanilla red bull",1,"2,950%"
"red bull cola",1,"-6%"
"ред булл",1,"-10%"
"blue red bull",1,"70%"
"juneberry",1,"Breakout"
"how much caffeine in a red bull",1,"140%"
"red bull tv",1,"-70%"
"red bull shop",1,"-20%"
"energy drinks",1,"20%"
"red bull peach",1,"450%"
"peach red bull",1,"500%"
"ردبول",1,"140%"
"紅牛",1,"30%"
"how much caffeine is in red bull",1,"120%"
"taurine",1,"-30%"
"red bull flavors",1,"80%"
"ريدبول",1,"500%"
"red bull pink",1,"450%"
