"query","search interest","increase percent"
"red bull f1 2023",2,"Breakout"
"red bull 2023",4,"Breakout"
"oracle red bull racing",2,"Breakout"
"castore",0,"Breakout"
"red bull oracle",3,"Breakout"
"oracle red bull",3,"Breakout"
"oracle",4,"Breakout"
"red bull racing liam lawson",0,"Breakout"
"oscar piastri",0,"Breakout"
"liam lawson",1,"Breakout"
"red bull 2022 car",1,"Breakout"
"red bull budget cap",0,"Breakout"
"laurent mekies",0,"4,800%"
"red bull 2022",5,"4,000%"
"red bull f1 2022",2,"3,450%"
"f1 2022",3,"3,350%"
"motor red bull 2022",0,"2,700%"
"motore red bull 2022",0,"1,900%"
"yuki tsunoda red bull",0,"1,700%"
"lego f1",1,"1,550%"
"racing bulls",0,"1,450%"
"lego",2,"1,300%"
"lego red bull",2,"1,300%"
"red bull lego",2,"1,250%"
"lego red bull f1",1,"1,250%"
"lego f1 red bull",1,"1,200%"
"red bull f1 engine 2022",0,"1,150%"
"red bull showrun",0,"1,050%"
"red bull paddock",1,"1,000%"
"red bull engine 2022",0,"900%"
"角田 レッドブル",0,"750%"
"hannah schmitz red bull",0,"750%"
"redbull f1 merch",0,"650%"
"red bull f1 merch",1,"450%"
"alpine f1",1,"450%"
"redbull car",2,"450%"
"red bull ford",1,"300%"
"redbull f1 car",1,"300%"
"red bull racing merch",0,"300%"
"red bull livery",1,"300%"
"adrian newey",1,"250%"
"lando norris",0,"200%"
"george russell",0,"170%"
"horner red bull",3,"150%"
"red bull team principal",1,"150%"
"red bull horner",3,"150%"
"redbull f1 team",1,"140%"
"leclerc",1,"140%"
"max verstappen redbull",1,"140%"
"red bull f1 team principal",0,"130%"
