"query","search interest","increase percent"
"red bull",100,"3%"
"f1",51,"20%"
"f1 red bull",41,"20%"
"red bull f1",39,"10%"
"red bull racing",27,"-10%"
"redbull",25,"100%"
"redbull f1",12,"120%"
"f1 redbull",12,"80%"
"verstappen",7,"6%"
"red bull car",6,"110%"
"formula 1",6,"20%"
"redbull racing",5,"-2%"
"red bull formula 1",5,"20%"
"red bull 2022",5,"4,000%"
"red bull racing f1",5,"-8%"
"formula 1 red bull",5,"20%"
"max verstappen",5,"0%"
"red bull team",5,"20%"
"mercedes",4,"20%"
"max verstappen red bull",4,"-10%"
"ferrari",4,"40%"
"red bull max verstappen",4,"-3%"
"red bull 2023",4,"Breakout"
"perez",4,"60%"
"レッドブル",4,"-60%"
"oracle",4,"Breakout"
"f1 red bull car",3,"70%"
"red bull drivers",3,"10%"
"red bull f1 car",3,"90%"
"perez red bull",3,"40%"
"red bull horner",3,"150%"
"ferrari f1",3,"50%"
"horner red bull",3,"150%"
"oracle red bull",3,"Breakout"
"mercedes f1",3,"20%"
"red bull oracle",3,"Breakout"
"mclaren",3,"40%"
"f1 2022",3,"3,350%"
"red bull f1 team",3,"20%"
"red bull engine",3,"20%"
"red bull f1 2022",2,"3,450%"
"lego",2,"1,300%"
"red bull motor",2,"20%"
"redbull car",2,"450%"
"mclaren f1",2,"40%"
"aston martin",2,"-50%"
"ricciardo red bull",2,"9%"
"red bull news",2,"20%"
"red bull f1 drivers",2,"10%"
"oracle red bull racing",2,"Breakout"
